source,target,via,effect
X1,Y1,,130.79706770513525
X1,Y2,,69.7027379045561
X1,Y3,,133.97314643061526
X2,Y1,,19.850356888244875
X2,Y2,,5.915336445182696
X2,Y3,,27.23453876218438
X3,Y1,,41.57871583295882
X3,Y2,,18.976870183377848
X3,Y3,,28.601428449102904
X4,Y1,,-45.745359431145474
X4,Y2,,-12.900073587219774
X4,Y3,,-45.58896365626524
X5,Y1,,-146.1893630017058
X5,Y2,,-81.01205954667401
X5,Y3,,-144.03282878594385
Y1,Z1,,-295.18413249508876
Y1,Z2,,282.9798865863504
Y1,Z3,,11727.147091198083
Y2,Z1,,-2463.024781421186
Y2,Z2,,68.10540833808491
Y2,Z3,,3163.1234203862164
Y3,Z1,,2757.207359152263
Y3,Z2,,-350.08512803108556
Y3,Z3,,-14891.259382587194
