source,target,via,effect
X1,Z1,Y1,-38609.219
X1,Z1,Y2,-171679.5708
X1,Z1,Y3,369391.7453
X1,Z1,(total mediasi),159102.9555
X1,Z2,Y1,37012.9394
X1,Z2,Y2,4747.1334
X1,Z2,Y3,-46902.0061
X1,Z2,(total mediasi),-5141.9333
X1,Z3,Y1,1533876.4521
X1,Z3,Y2,220478.3627
X1,Z3,Y3,-1995028.8738
X1,Z3,(total mediasi),-240674.059
X2,Z1,Y1,-5859.5104
X2,Z1,Y2,-14569.6203
X2,Z1,Y3,75091.2707
X2,Z1,(total mediasi),54662.1401
X2,Z2,Y1,5617.2517
X2,Z2,Y2,402.8664
X2,Z2,Y3,-9534.407
X2,Z2,(total mediasi),-3514.2888
X2,Z3,Y1,232788.055
X2,Z3,Y2,18710.9392
X2,Z3,Y3,-405556.5809
X2,Z3,(total mediasi),-154057.5866
X3,Z1,Y1,-12273.3772
X3,Z1,Y2,-46740.5015
X3,Z1,Y3,78860.069
X3,Z1,(total mediasi),19846.1903
X3,Z2,Y1,11765.9403
X3,Z2,Y2,1292.4275
X3,Z2,Y3,-10012.9347
X3,Z2,(total mediasi),3045.433
X3,Z3,Y1,487599.7164
X3,Z3,Y2,60026.1825
X3,Z3,Y3,-425911.2897
X3,Z3,(total mediasi),121714.6092
X4,Z1,Y1,13503.3042
X4,Z1,Y2,31773.2009
X4,Z1,Y3,-125698.2261
X4,Z1,(total mediasi),-80421.7209
X4,Z2,Y1,-12945.0166
X4,Z2,Y2,-878.5648
X4,Z2,Y3,15960.0182
X4,Z2,(total mediasi),2136.4368
X4,Z3,Y1,-536462.5588
X4,Z3,Y2,-40804.5249
X4,Z3,Y3,678877.0828
X4,Z3,(total mediasi),101609.9991
X5,Z1,Y1,43152.7803
X5,Z1,Y2,199534.7103
X5,Z1,Y3,-397128.3755
X5,Z1,(total mediasi),-154440.8849
X5,Z2,Y1,-41368.6494
X5,Z2,Y2,-5517.3594
X5,Z2,Y3,50423.7513
X5,Z2,(total mediasi),3537.7425
X5,Z3,Y1,-1714384.1631
X5,Z3,Y2,-256251.1429
X5,Z3,Y3,2144830.2131
X5,Z3,(total mediasi),174194.9071
