lhs,rhs,est,se,p_value,standardized
Y1,X1,29.76691641649548,7.598619353686225e-07,0.0,34.76331138830313
Y1,X2,3.441567631240097,6.752409816570735e-07,0.0,3.5580841504281775
Y1,X3,-4.211565039327231,7.135984431933264e-07,0.0,-4.62132835604211
Y1,X4,-6.1547700528624745,7.168637658918708e-07,0.0,-6.719046571946481
Y1,X5,-25.13687408793652,6.712476986823158e-07,0.0,-25.822159695880345
Y2,X1,15.92392700497982,6.235832967068074e-07,0.0,18.268205645730365
Y2,X2,5.95609739299552,5.540450052244709e-07,0.0,6.048951752183737
Y2,X3,-57.782094137928176,5.856998360086858e-07,0.0,-62.28378773561831
Y2,X4,22.984522534539675,5.88595205019451e-07,0.0,24.648456511806543
Y2,X5,13.851929878888782,5.507595071368024e-07,0.0,13.978159780111298
Y3,X1,63.90560543118572,2.635486071913676e-07,0.0,67.11345723823672
Y3,X2,28.565847563091086,2.3420759404045743e-07,0.0,26.557695562952663
Y3,X3,-17.75934628027247,2.4749623484654004e-07,0.0,-17.524016679272112
Y3,X4,-9.996692833585811,2.4861058754827597e-07,0.0,-9.813762291647514
Y3,X5,-70.44185017103648,2.3282237357211482e-07,0.0,-65.07218868363047
Z1,Y1,2.5901566840997674,2.4196264953317685e-05,0.0,318.836820435872
Z1,Y2,0.3176351785236941,2.462187083081576e-05,0.0,39.802706597238355
Z1,Y3,-2.627423225736654,2.690471746146657e-05,0.0,-359.6574831214693
Z2,Y1,141.52020425945304,1.6878908163912788e-07,0.0,129.15321569363374
Z2,Y2,24.21936927557651,1.7173828352119257e-07,0.0,22.500448915017213
Z2,Y3,-148.45177099611632,1.8768017165709082e-07,0.0,-150.65681884943845
Z3,Y1,2.7674298014725163,2.9848000618008685e-05,0.0,376.17835372921667
Z3,Y2,0.36554437941951,3.0372546774782734e-05,0.0,50.58233524247903
Z3,Y3,-2.8299399952066646,3.3189020722624534e-05,0.0,-427.77071341184677
