source,target,effect
X1,Y1,130.7971
X1,Y2,69.7027
X1,Y3,133.9731
X2,Y1,19.8504
X2,Y2,5.9153
X2,Y3,27.2345
X3,Y1,41.5787
X3,Y2,18.9769
X3,Y3,28.6014
X4,Y1,-45.7454
X4,Y2,-12.9001
X4,Y3,-45.589
X5,Y1,-146.1894
X5,Y2,-81.0121
X5,Y3,-144.0328
Y1,Z1,-295.1841
Y1,Z2,282.9799
Y1,Z3,11727.1471
Y2,Z1,-2463.0248
Y2,Z2,68.1054
Y2,Z3,3163.1234
Y3,Z1,2757.2074
Y3,Z2,-350.0851
Y3,Z3,-14891.2594
X1,Z1,159102.9555
X1,Z2,-5141.9333
X1,Z3,-240674.059
X2,Z1,54662.1401
X2,Z2,-3514.2888
X2,Z3,-154057.5866
X3,Z1,19846.1903
X3,Z2,3045.433
X3,Z3,121714.6092
X4,Z1,-80421.7209
X4,Z2,2136.4368
X4,Z3,101609.9991
X5,Z1,-154440.8849
X5,Z2,3537.7425
X5,Z3,174194.9071
