class,item,category,probability
0,X1.1,1,1e-15
1,X1.1,1,0.06510416666666667
2,X1.1,1,1e-15
0,X1.1,2,1e-15
1,X1.1,2,0.2682291666666667
2,X1.1,2,1e-15
0,X1.1,3,1e-15
1,X1.1,3,0.2838541666666667
2,X1.1,3,0.24894514767758577
0,X1.1,4,0.4952919020704401
1,X1.1,4,0.25520833333333337
2,X1.1,4,0.5021097046438178
0,X1.1,5,0.5047080979295586
1,X1.1,5,0.12760416666666674
2,X1.1,5,0.24894514767859793
0,X2.3,1,1e-15
1,X2.3,1,0.09635416666666667
2,X2.3,1,1e-15
0,X2.3,2,1e-15
1,X2.3,2,0.2578125
2,X2.3,2,1e-15
0,X2.3,3,1e-15
1,X2.3,3,0.2604166666666667
2,X2.3,3,0.2700421940909405
0,X2.3,4,0.4896421845573718
1,X2.3,4,0.24739583333333345
2,X2.3,4,0.5021097046414126
0,X2.3,5,0.5103578154426271
1,X2.3,5,0.13802083333333334
2,X2.3,5,0.22784810126764846
0,X2.4,1,1e-15
1,X2.4,1,0.09114583333333333
2,X2.4,1,1e-15
0,X2.4,2,1e-15
1,X2.4,2,0.2421875
2,X2.4,2,1e-15
0,X2.4,3,1e-15
1,X2.4,3,0.25
2,X2.4,3,0.21940928269888915
0,X2.4,4,0.46139359698532395
1,X2.4,4,0.2734375000000001
2,X2.4,4,0.518987341775095
0,X2.4,5,0.5386064030146751
1,X2.4,5,0.14322916666666666
2,X2.4,5,0.26160337552601726
0,X2.5,1,1e-15
1,X2.5,1,0.1015625
2,X2.5,1,1e-15
0,X2.5,2,1e-15
1,X2.5,2,0.2421875
2,X2.5,2,1e-15
0,X2.5,3,1e-15
1,X2.5,3,0.28906250000000006
2,X2.5,3,0.18143459915485058
0,X2.5,4,0.49340866289962826
1,X2.5,4,0.25781250000000006
2,X2.5,4,0.5527426160345951
0,X2.5,5,0.5065913371003706
1,X2.5,5,0.109375
2,X2.5,5,0.2658227848105559
0,X2.6,1,1e-15
1,X2.6,1,0.10416666666666667
2,X2.6,1,1e-15
0,X2.6,2,1e-15
1,X2.6,2,0.25
2,X2.6,2,1e-15
0,X2.6,3,1e-15
1,X2.6,3,0.3046875000000001
2,X2.6,3,0.24894514767758558
0,X2.6,4,0.47645951035648193
1,X2.6,4,0.21614583333333334
2,X2.6,4,0.4936708860788164
0,X2.6,5,0.523540489643517
1,X2.6,5,0.125
2,X2.6,5,0.2573839662435995
0,X2.7,1,1e-15
1,X2.7,1,0.0859375
2,X2.7,1,1e-15
0,X2.7,2,1e-15
1,X2.7,2,0.2760416666666667
2,X2.7,2,1e-15
0,X2.7,3,1e-15
1,X2.7,3,0.23177083333333337
2,X2.7,3,0.2742616033736114
0,X2.7,4,0.46704331450003767
1,X2.7,4,0.2161458333333334
2,X2.7,4,0.4472573839684076
0,X2.7,5,0.5329566854999612
1,X2.7,5,0.19010416666666666
2,X2.7,5,0.2784810126579825
0,X2.8,1,1e-15
1,X2.8,1,0.08333333333333333
2,X2.8,1,1e-15
0,X2.8,2,1e-15
1,X2.8,2,0.2604166666666667
2,X2.8,2,1e-15
0,X2.8,3,1e-15
1,X2.8,3,0.2760416666666667
2,X2.8,3,0.2869198312216243
0,X2.8,4,0.474576271185103
1,X2.8,4,0.2604166666666668
2,X2.8,4,0.48523206751347053
0,X2.8,5,0.5254237288148957
1,X2.8,5,0.11979166666666667
2,X2.8,5,0.22784810126490665
0,X3.1,1,1e-15
1,X3.1,1,0.07291666666666667
2,X3.1,1,1e-15
0,X3.1,2,1e-15
1,X3.1,2,0.234375
2,X3.1,2,1e-15
0,X3.1,3,1e-15
1,X3.1,3,0.2708333333333333
2,X3.1,3,0.22784810126423105
0,X3.1,4,0.4839924670420432
1,X3.1,4,0.2942708333333333
2,X3.1,4,0.5358649789054392
0,X3.1,5,0.5160075329579557
1,X3.1,5,0.12760416666666677
2,X3.1,5,0.2362869198303313
0,X3.2,1,1e-15
