feature,mean_abs_shap,rank,dominant_direction,most_affected_class
X1.8,0.20075202,1,negative,0
Z1.2,0.14576103,2,negative,0
Z2.5,0.1423259,3,negative,0
X4.4,0.13239883,4,negative,0
X5.8,0.12917985,5,negative,1
X4.3,0.1286487,6,negative,2
Z2.1,0.12269338,7,negative,0
Y1.5,0.1154263,8,negative,1
X1.4,0.11454291,9,negative,1
Z1.3,0.10822221,10,negative,0
X1.6,0.10781499,11,negative,0
X2.5,0.10779682,12,negative,1
X2.8,0.10292225,13,negative,0
X2.6,0.10283143,14,negative,1
X5.3,0.10175144,15,negative,1
Z2.2,0.10087702,16,negative,1
X4.5,0.10022366,17,negative,1
Y1.1,0.0986557,18,negative,0
Z2.7,0.091765076,19,negative,0
X4.6,0.089813165,20,negative,1
Y1.7,0.08840203,21,negative,1
X4.1,0.086643524,22,negative,1
X2.3,0.085425705,23,negative,0
X2.2,0.08370319,24,negative,0
X3.7,0.08369882,25,negative,1
X4.7,0.080884576,26,negative,0
Z2.4,0.080875784,27,negative,0
X1.3,0.08002392,28,negative,1
Z3.4,0.07849961,29,negative,1
Z1.5,0.07529166,30,negative,0
Y3.3,0.07493097,31,negative,0
Z3.8,0.072335996,32,negative,1
Y2.8,0.06845368,33,negative,0
Y3.6,0.067998424,34,negative,1
Y3.2,0.067686915,35,negative,2
X3.8,0.06666897,36,negative,0
X5.2,0.06616066,37,negative,0
Y3.1,0.06508116,38,negative,1
X2.1,0.063948415,39,negative,0
X2.7,0.06237079,40,negative,0
Z3.2,0.059913974,41,negative,1
X3.6,0.057898458,42,negative,1
Y2.7,0.057182055,43,negative,2
X5.5,0.056981612,44,negative,1
Z1.1,0.056281403,45,negative,0
Z2.8,0.056059767,46,negative,0
Z1.4,0.054943744,47,negative,1
Y2.6,0.05476864,48,negative,2
Y1.2,0.054254904,49,negative,1
X2.4,0.053985327,50,negative,1
Y1.8,0.05308333,51,negative,1
Z2.3,0.05194542,52,negative,1
X3.4,0.051478874,53,negative,2
Y2.5,0.051325843,54,negative,0
Z1.6,0.049643647,55,negative,0
Y3.5,0.049055416,56,negative,1
Y1.6,0.048636194,57,negative,1
Y2.2,0.047713358,58,negative,0
X5.4,0.046352565,59,negative,1
Z2.6,0.045935914,60,negative,0
X3.3,0.04581694,61,negative,2
Y1.3,0.045598064,62,negative,1
X3.1,0.044876844,63,negative,2
Y2.1,0.04476976,64,negative,0
X3.5,0.04409178,65,negative,0
Z1.8,0.043682266,66,negative,2
X5.1,0.04249102,67,negative,0
X5.6,0.042351972,68,negative,2
X3.2,0.04075597,69,negative,0
Y2.4,0.03750367,70,negative,2
Z3.3,0.036048763,71,negative,1
X4.2,0.035762433,72,negative,1
X4.8,0.03562773,73,negative,1
X1.2,0.035513714,74,negative,0
Z3.1,0.034837335,75,negative,1
X1.1,0.033937633,76,negative,1
Z1.7,0.028949598,77,negative,0
Y1.4,0.028926708,78,negative,0
Y3.4,0.028184503,79,negative,1
X5.7,0.027630746,80,negative,0
Z3.6,0.022874935,81,negative,0
X1.5,0.021520546,82,negative,0
Y3.8,0.017824182,83,negative,1
Z3.5,0.017550921,84,negative,1
Z3.7,0.0148742,85,negative,2
Y2.3,0.012462399,86,negative,1
Y3.7,0.012055625,87,negative,0
X1.7,0.010764855,88,negative,1
